/Users/tomoki/anaconda/bin/python3 /Applications/PyCharm.app/Contents/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 61166 --file /Users/tomoki/PycharmProjects/unimorph-task1/main.py
pydev debugger: process 31811 is connecting

Connected to pydev debugger (build 173.4127.16)
[dynet] random seed: 1167912836
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
loss: 28383.70592880249
أُسَمِّمَ تَرْتَانَانَ
يُلَامَسُو تَرَا
تُقْتَضَبَانِ تَرْتَا
اِسْتَتِيبَا تَرْتَا
فُقِّطَا تَرَا
تَسَلٍّ تَرْتَانَا
دُولَاب الْتَالَانَانَ
يَدْحُوَا تَرَا
أَزْدَنْ تَرْتَانَانِ
كِيمِيَائِيَّتَيْنِ الْتَالَانَانَانَ
أَمْضَيَيْنِ الْتَارَانَا
جَرِيئَتَيْن الْتَالَانَانَا
تَعْتَزِمُونَ تَرْتَا
رُوفِقَتْ تَرَا
تُدَحْرَجُو تَرْتَا
تَسْخِيرِ الْتَانَانَانَ
حُرَّيَيْنِ الْتَانَانَ
تَقْتَنِعُ تَرْتَا
نُهَنْ تَرْتَانَانَ
طَأُو تَرَانَ
حَنَيْنَ تَرَا
بَيَّاعَيْن الْتَالَانَانَ
اِسْتِحْفَاظُ الْتَانَانَا
مَسْفُوحَانِ الْتَالَانَا
هُنْدِسَ تَرْتَا
تُودَعْنَ تَرَا
تُوَاصَلْنَ تَرَا
يَتَتَرَّكْ تَرْتَا
اِسْتِنْسَارِ الْتَانَانَانِ
تُبَسْمِلَا تَرَا
أَرَاحَتَا تَرَا
تُتَمَنَّ تَرْتَا
تَجْتَمِعُو تَرْتَا
تَأْلِيهَ الْتَانَانَانَ
مَوْضُوعَيْنِ الْتَانَانَ
زُبَّيْ الْتَانَانَ
التَّشْرِيعِيَّتَانِ الْتَارَانَانِ
اِلْتَفَتْنَا تَرْتَا
تُنْبَأْ تَرْتَا
اِضْطَرَّتَا تَرَا
تَبْتَاعُو تَرْتَا
أَشْوَسَانِ الْتَالَانَا
تُدَنْدَنَّ تَرْتَا
دِيَانَة الْتَالَانَانَ
مُبَرْهَن تَرْتَانَا
تُفَاجَآ تَرَا
يُخَوَّشْنَ تَرَا
الطِّلَسْمَيْنِ الْمَالَانَانَانِ
جُمْهِرَا تَرَا
أُوقِنَّا تَرْتَانَا
إِقْبَارُ الْتَانَانَ
اِسْتَأْ تَرْتَانَا
يَتَثَاءَبَا تَرْتَانَ
اِنْفَطَرَ تَرَا
تُعْجَمْنَ تَرَا
تَسْتَكْثِرُو تَرْتَا
شَيْطَانِيَّتَيْنِ الْتَالَانَانَ
اُقْتُبِلْتُ تَرْتَانَا
تَسْتَهْزِئَا تَرْتَا
نَشْوَاتُ الْتَالَانَ
اِنْضَمَّا تَرْتَانَا
غَطَّيْتُمَا تَرَا
يَخْتَتِنُو تَرْتَا
يَنْقَدْ تَرْتَانَ
تُثَابِرُونَ تَرْتَانَا
مُنْقِذ اِرْتَانَا
رُبِّبْتَ تَرْتَانَا
يَبْدَأَ تَرَا
يُتَرْجِمْ تَرْتَا
تَبْدُوَا تَرَا
جِبْنَ تَرَا
رِمَايَةِ الْتَالَانَانَ
يَسْتَحْسِنَّ تَرْتَا
أَهْجَرْتِ تَرَا
عَاطِفَتَيْ الْتَانَانَ
يَرْتَجِينَ تَرْتَا
قُضْبَانُ الْتَانَانَ
يَسْتَظْهِرْنَ تَرْتَا
حَيَّيَا تَرَا
الْأَصَمَّيْنِ الْتَالَانَا
تُخَالِطَا تَرَانَ
تَصِيحُو تَرَانَ
يُقَهْقِهْنَ تَرَا
تَعَالَى تَرْتَا
مَلْء اِرَانَ
تَسْتَنْسِبَا تَرْتَا
الشَّارِعَيْنِ الْمَالَانَانَانِ
اِسْتَنْفَرَتَا تَرْتَا
دُلَّا تَرَا
طِفْلَيْنِ الْتَالَانَانَ
تَنْتَحِلِينَ تَرْتَا
اِفْتَقَرْتُمَا تَرْتَا
إِرْهَابِيَّةِ الْتَالَانَانَ
تُصَادِرَ تَرْتَا
أَسْبَغْتُمَا تَرْتَا
سُووِيَتْ تَرَا
سِرْبِ الْتَانَانَ
حَامَيْتَ تَرَا
تَنْفُونَ تَرْتَانَا
أَسْتَحْسِنُ تَرْتَا
اِسْتِخْدَامُ الْتَانَانَا
جُمْهُورَيْ الْتَانَانَ
سَاخِرَتَيْنِ الْتَانَانَا
تُعْلَنَا تَرْتَا
يُفَتِّشَانِ تَرْتَا
اِخْضَوْضَرَا تَرَا
الْحَمِيدَيْنِ الْتَارَانَانِ
غَرْغَرَتْ تَرَا
فَاجِئْ تَرَانَ
الِاسْتِعْبَادَ الْتَالْتَارَاتِينِ
اِرْجَحْنَنَّا تَرْتَانَا
رَادَدْنَا تَرْتَانَانَ
تُنْدَى تَرْتَانَا
قَوْس قُزَح الْتَانَانَانَ
مُسْتَنّ تَرْتَانَا
تُسْتَرْزَقَا تَرْتَا
تُخْتَرَعَانِ تَرْتَا
كِيبُوتْسِ الْتَانَانَ
يُرِيحَا تَرَا
تَشْتَطُّ تَرْتَا
تُضَاعَا تَرَا
تَرْغَبَا تَرَا
يَبْطُؤَا تَرَا
اُسْتُثْنِيتُمْ تَرْتَا
قَضِيَّتَا الْتَانَانَ
آنِسَتَيْن الْتَانَانَانَ
تُشِرْنَ تَرْتَانَا
مَعْنَى الْتَانَانَ
شِرَاعَيْنِ الْتَارَانَا
مَسَايَةَ الْتَالَانَانَ
تُحْبِطَا تَرَا
اُخْتُرِقَتَا تَرْتَا
يَدْحُو تَرَا
الْجَاهِلَيْنِ الْتَالَانَانَا
تُشَعَّا تَرَا
مَضْبُوطَتَيْنِ الْتَانَانَ
رَجَوْتُمْ تَرَا
تَغْلِيب الْتَانَانَانَانَ
تُقَارَضَ تَرَا
يُرَبِّي تَرَا
غَيْمَتَيْ الْتَانَانَ
تُنْبِئْنَ تَرْتَا
فِرْعَوْنَيْ الْتَانَانَ
تَلْتَفِتَانِ تَرْتَا
جِعْنَا اِرَانَ
تَجْهِيزَ الْتَانَانَانَ
تَسْتَنَّ تَرْتَا
يَسْتَصْبِحَا تَرْتَا
تُشَارِكُ تَرَا
اِنْطَرِحِي تَرْتَانَا
الدَّكْنَاءَيْنِ الْتَانَانَا
بَاعَتْ تَرَا
يُطَاعُو تَرَا
أُدِّيَتْ تَرْتَا
اِخْتَرْنَ تَرْتَا
يُنْدَيَا تَرَا
مُرْتَاحَانِ الْتَانَانَانِ
تُلَامِسْ تَرَا
مَدْخَلُ الْتَانَانَ
تَسْبَغِلَّانِ تَرْتَا
شَلَّالَاتِ الْتَالَانَانَ
غَرِيبَتَيْن الْتَارَانَانَ
اِجْلِنْفَاع اِرْتَانَانَ
يَبْرُزْنَ تَرَا
أُبْهِمَ تَرْتَانَانَ
تُنَاوَلْ تَرَا
اُسْتُحْمِلَتْ تَرْتَا
بْرُوتُونُ الْتَانَانَ
رُخْصَة الْتَالَانَانَ
تُقْتَضَبَ تَرْتَا
كَافَأَتْ تَرَا
اُسْتُثْمِرَا تَرْتَا
الْبُرْءَيَاتِ الْتَالَانَانَانِ
مَجْلِسَ الْتَانَانَانَ
أَحْقَوْقِفُ تَرْتَانَانَ
الْقُدْرَتَيْن الْمَالَانَانَانِ
نَرْجَحِنَّ تَرْتَانَا
غَنِّي تَرَا
الْأَمَامِيَّيْن الْتَالَانَانَانِ
يَبْتَدِئْ تَرْتَا
مَسْلَكَيْ الْتَانَانَ
تَنْفَعِلِينَ تَرْتَانَا
تُرَاجِعْنَ تَرْتَانَا
مُشْتَمَل تَرْتَانَا
تُزَدْ تَرَا
تُجَاوِرْنَ تَرَا
يُنَاقَشْ تَرَا
اِنْعَكَسَا تَرَا
حَسَنَتَيْنِ الْتَانَانَ
جُدْرَيَاتٍ الْتَارَانَانَانِ
أَنْعَقِدْ تَرْتَانَا
أَجْرُؤُ اِرَانَ
يُسَمَّمَا تَرَا
تُظَاهَرُ تَرْتَانَا
سَكَرَات الْتَالَانَا
قُعُود الْتَانَانَ
سِرْبَيْ الْتَانَانَ
شَفَيَا تَرَا
أَجْذَبَيْنِ الْتَارَانَا
تُذْرَى تَرَا
مُؤْتَمَرَات الْتَانَانَ
الْمُفَضَّلَتَيْنِ الْتَالَانَا
دَاعِشِيَّة الْتَالَانَانَ
اُقْتُرِحْتُنَّ تَرْتَا
حُيِّيتِ تَرْتَانَانَ
تَضِفْنَ تَرَانَ
طَهَّرَتَا تَرَا
اِنْقَلَبْتُمَا تَرْتَا
تَصْغُونَ تَرَانَ
صُهْيِنَ تَرْتَانَا
يَعْتَدْنَ تَرْتَا
اُسْعُلِي تَرَا
تُسْتَجْمَعَا تَرْتَا
تَشْكُوَ تَرَانَ
اِسْتِمْرَارِيَّةُ الْتَانَانَانَ
التِّمْسَاحَانِ الْتَالَانَانَانِ
تُحَارَبَانِ تَرَا
يُعَاقِبُو تَرَا
تَتَّحِدَا تَرْتَا
حَشَرتَيْنِ الْتَارَانَ
تَنْضَمِّي تَرْتَانَا
خِفْتِ تَرَا
أَحْيَيَانِ الْتَالَانَانَ
تُدَمَّرْ تَرَا
يُقَامَرَا تَرَا
مَكْتَبَات الْتَانَانَ
شِهَابُ الْتَالَانَا
رَسَّامَتَا الْتَانَانَ
وَهْمَيْ الْتَانَانَ
الِاقْتِصَادِيَّةِ الْتَالْتَارِي
اِسْتَمْرَرْنَا تَرْتَا
مِشْيَةَ الْتَالَانَانَ
شَرِيكَيْ الْتَانَانَ
يَتَّخِذْنَ تَرْتَا
يُسْتَمْتَعَ تَرْتَا
قَوَافِلُ الْتَالَانَا
ثَدِيِيُّ الْتَارَانَانَ
عَشِيرَتَيْ الْتَانَانَ
تُدَاوَرِينَ تَرْتَانَا
نُسْتَكْتَبَ تَرْتَا
كُحُول الْتَالَانَانَ
يُتَلْفَزَانِ تَرْتَانَا
مُسْتَكْشِف تَرْتَانَانِ
تُسْتَبْدَلُو تَرْتَا
إِنْدُونِيسِيَّاتِ الْتَانَانَانَ
غَابَاتِ الْتَالَانَ
بَرْدَانَتَيْنِ الْتَانَانَا
عُرْيَانَتَيْنِ الْتَارَانَا
أَنْفَجِرُ تَرْتَانَانَ
تَسْتَخْبِرَانِ تَرْتَا
ثَوْرَتَيْ الْتَانَانَ
حَلُّوفِ الْتَالَانَانَ
نَخْتَتِنْ تَرْتَا
تَحْلِيلَيْنِ مَعْمَلِيَّيْنِ الْتَانَانَانَانِ
مَهْبِلَانِ الْتَانَانَ
بَطَّارِيَّاتِ الْتَالَانَانَ
اِقْتَرِحْنَ تَرْتَا
اِسْتَهْدِفِي تَرْتَا
يُدَنْدَنَانِ تَرْتَا
مُتَّخِذ تَرْتَانَا
تُقْتَصَدْنَ تَرْتَا
اِحْتَلَّ تَرْتَا
التَّاسِعَيْن الْتَارَانَانِ
تَطُوعَ تَرَا
اُسْتُجِيرُوا تَرْتَا
يُلْغَى تَرَا
تُرَبِّي تَرْتَانَا
أَمِيرَةِ الْتَالَانَانَ
قَهْوَتَيْ الْتَانَانَ
وِرَاثَة الْتَالَانَانَ
يُذْنِبُونَ تَرْتَا
يَسْتَنِيرُو تَرْتَا
اِخْضَارَرْتُمَا تَرْتَانَا
السَّنَوِيَّتَيْنِ الْتَالَانَا
تُعَاوِنَا تَرَا
نُنَارَ تَرْتَانَا
فَظِيعَانِ الْتَالَانَانَ
الْمُرْتَاحَيْنِ الْتَانَانَانِ
اُسْتُعْلِمْتَ تَرْتَا
اِفْتَقَرْتُنَّ تَرْتَا
تَدْحِي تَرَا
يُنَاوِلْنَ تَرَا
غَيْمَتَيْ الْتَانَانَ
تَفْضِيلِ الْتَانَانَانَ
اُسْتُخْدِمَا تَرْتَا
يُنَافِسُ تَرْتَانَا
مَزْحُور اِرْتَانَانَ
اِنْكِتَابَ الْتَانَانَانِ
الْمُتَأَكِّدَانِ الْتَانَانَانِ
يُؤْثِرْنَ تَرَا
الْأَبْرَأَيْنِ الْتَارَانَا
جَبِينَيْ الْتَانَانَ
يَدَّعِيَانِ تَرَا
حَارَتَيْ الْتَانَانَ
اِشْتِقَاقِ الْتَانَانَا
فَارِعَيْن الْتَالَانَانَا
اِسْتَلْقَيْتُنَّ تَرْتَا
إِصَابَةُ الْتَالَانَا
إدْحِيّةِ الْتَالَانَانَ
تَشْكِي تَرَانَ
تُصَادَرَانِ تَرْتَانَ
يُبَاحِثَا تَرَا
خَالَاتِ الْتَالَانَا
عُبُودَةُ الْتَانَانَ
غُطِّيتَ تَرْتَانَا
تَنْتَهِي تَرْتَا
فِرْدَوْسَانِ الْتَانَانَ
تَدُلَّ تَرَا
مَخَابِزِ الْتَانَانَ
تُبَاعِينَ تَرَانَ
اِسْتِعْمَالَانِ الْتَانَانَانِ
