os appicarmos
espezinhou espelina
coiseis cosastes
escaldara esccaldara
clarificavam caricavam
naufragardes naalralardes
labutados labutados
tuite tita
contrariando contrariar
amaynarem amaliar
mesclarei mesclultar
jejuou velava
desatinaras destinaste
profanámos pronavamos
fosforescer voscorcester
arrenegaram arrelavam
abordeis abordes
iniciemos iniamos
recalcule recalcula
coordenásseis cordestesses
conceberiam concelariamos
reoxidai reneis
içáreis ilaras
ardeste ardas
redigitardes redititardes
avivaram apigiavam
contes contas
compenetrarmos compemtrarmos
posicionares posionares
embonecara emponcara
arpoáreis arfuaras
alienavas aliavas
monopolizaríamos monpolizariamos
visasses visasses
excedemos encediamos
reassistam reassiste
colmávamos colmavamos
arriscamos arriscamos
catalisar catalisar
pactaria pactar
chantageeis cintaleies
atingiremos atinfiremos
peleásseis peleassesses
amassaram amassanavam
desagregue despalreva
esterra estera
amofinarmos amolinarmos
insistira insistira
vereares verear
cochilámos cocunavamos
vendareis vendareis
saqueiem saleam
zerasse urasse
perfuraria perurara
insultarás insultaras
dissequem disses
alcovitem alcoltititam
erotizeis eredes
escarchaste esccarcaste
confisque conca
descompunham descompompiavam
numerarias nmuraras
galvanizarei fanvinar
artilhemos artilamos
aspirarem ascirar
cassadas cassavas
revertereis rerterterdes
eventrastes entravastes
fascina vascina
provocava procucasse
barganhareis farfanastareis
recapitulássemos recalavamos
respondia responda
espaças espalas
acompanháveis acomanastesses
cobríreis colriras
comunicam comicam
sancionamos sancionemos
retirastes retiraves
drapejem drapegeram
recomendei recomomha
circundarei circar
maiuscularíamos miiinancariamos
proveriam prigariamos
engastes estaste
congraceis confraveis
ornariam oriramos
sussurrávamos sanravamos
grudes pritas
desaconselhai descacentas
juntara vuntara
enjoaríeis engiariamos
fortalecereis fortacecestes
dançásseis dantassesses
fotografarmos vopopogualarmos
eclipsarmos ecurarmos
embebedareis embeledereis
rescaldar rescaldar
sopreis sopreis
aluviar aluiliar
alargar ararvar
gazeteasse valetea
matabichásseis mataticassesses
lasque issca
tornar torra
elogies elolias
desossasse dessava
aprende aprendes
experienciamos erinavamos
incubara inculara
pirateias piate
cultuámos cultaramos
escancemos escancamos
devaneies delanei
repartiriam repartiram
castigarmos castigarmos
automatizarás apetilatias
pruíeis priinastes
enfatizada enpatiata
cunhassem canhassemos
